sbd,toán,ngữ văn,lịch sử,địa lí,giáo dục công dân,sinh học,vật lý,hóa học,ngoại ngữ
4000001,7.8,6.5,-1,-1,-1,7,8,8,8.2
4000002,7.6,7.5,-1,-1,-1,7,8,6,5.6
4000003,2.6,3.5,3.5,4.25,5,-1,-1,-1,2.8
4000004,6,8,-1,-1,-1,6,4,6,6.6
4000005,7.2,6.5,-1,-1,-1,4,6,8,5.4
4000006,4.8,5,4.25,5.5,7.5,-1,-1,-1,4.4
4000007,6.4,6.5,4.25,4.5,5.5,-1,-1,-1,4.4
4000008,6.8,5.25,7,7,8.5,-1,-1,-1,5.2
4000009,7.4,6,4.75,5.5,8.5,-1,-1,-1,6
4000010,5.6,7.5,5.75,5.75,9.25,-1,-1,-1,7.4
4000011,6.2,5,4,4.5,6.25,-1,-1,-1,3.8
4000012,8,7.5,6.75,5.75,8.75,-1,-1,-1,9.4
4000013,7.6,5.5,-1,-1,-1,5,8,3,6.8
4000014,5,6.5,6.5,6.25,8.5,-1,-1,-1,4.2
4000015,7.6,6.25,4,4.5,8.5,-1,-1,-1,6
4000016,7.6,8,5.5,7.75,9,-1,-1,-1,6.4
4000017,6.8,5.5,6.75,5.25,9,-1,-1,-1,9.2
4000018,7.6,5.75,-1,-1,-1,6,5,8,8
4000019,7.6,6.25,-1,-1,-1,7,4,6,8
4000020,7.2,6,3.75,5.5,8.75,-1,-1,-1,9
4000021,2.8,4,3.25,5,4.5,-1,-1,-1,2
4000022,8.2,5.25,-1,-1,-1,8,3,8,7.2
4000023,4.8,6.5,7.25,6.75,8,-1,-1,-1,5.6
4000024,6.8,8.25,5,5.75,8.25,-1,-1,-1,8.6
4000025,5.2,7.25,5.5,3.25,6.75,-1,-1,-1,6.2
4000026,7.6,5.75,-1,-1,-1,6,9,4,8.6
4000027,6.4,7,6,5.25,8,-1,-1,-1,3.6
4000028,8,7.75,7,5.75,9.5,-1,-1,-1,8.6
4000029,2.2,4.25,2.25,-1,-1,-1,-1,-1,2.8
4000030,7,6,-1,-1,-1,5,6,4,6.8
4000031,7.4,5,-1,-1,-1,8,8,9,5.8
4000032,7.6,6.5,-1,-1,-1,6,7,4,8
4000033,5.4,3.75,4.25,4.25,8.25,-1,-1,-1,5.4
4000034,6.4,8.25,5.5,7.25,7.75,-1,-1,-1,5.4
4000035,8.4,7,-1,-1,-1,9,6,9,7
4000036,6,7.5,-1,-1,-1,6,4,6,5.2
4000037,7.6,8,5.75,6.75,9.25,-1,-1,-1,6.6
4000038,4.8,7.25,6,5.75,9,-1,-1,-1,6
4000039,8.4,5.25,-1,-1,-1,6,8,8,7.4
4000040,8,8.75,5,5.75,8,-1,-1,-1,9
4000041,8.4,5.5,-1,-1,-1,7,9,7,9
